Shelter Name,Pre-5min (km²),Post-5min (km²),Short Shrink %,Pre-10min (km²),Post-10min (km²),Long Shrink %
避難所a,40.56,7.08,82.5%,64.79,25.38,60.8%
避難所b,41.86,7.16,82.9%,64.79,26.91,58.5%
避難所c,39.52,6.99,82.3%,64.79,24.69,61.9%
避難所d,37.65,6.46,82.9%,64.79,24.50,62.2%
避難所e,34.12,4.15,87.8%,64.79,19.31,70.2%
